"Y","Enhanced_GVI_quantification","Transaction_including_the_first_floor_versus_not","Housing_age","Transaction_year","Condominium_versus_not","Apartment_versus_not","Studio_versus_not","Detached_House_versus_not","Storefront_versus_not","Commercial_building_versus_not","mrt_d","school_d","park_d"
113233,7.14,0,38,108,0,1,0,0,0,0,1539.057837,233.1702747,165.5204941
144367,3.524257,0,23,108,0,0,1,0,0,0,305.8058059,380.0539039,251.0276473
152104,5.757186,0,11,108,0,0,1,0,0,0,166.7445118,235.1015087,87.33391688
94077,3.593347,0,39,108,0,0,1,0,0,0,61.82635952,566.9715125,55.92609028
104506,7.790162,0,40,108,0,0,0,0,0,1,266.0643577,212.0165728,34.51574843
109694,5.253119,0,41,108,1,0,0,0,0,0,457.3019811,328.8805897,131.1668639
130939,8.800818,1,49,108,0,1,0,0,0,0,448.1640275,381.7063517,150.2003737
129440,12.138733,0,41,108,0,0,1,0,0,0,379.2313682,357.4374291,107.0363592
144260,0.951821,0,40,108,0,0,1,0,0,0,425.4111365,421.0440695,130.208241
130976,6.046307,0,44,108,0,1,0,0,0,0,459.9414385,247.9237047,78.36128669
144405,7.962582,0,44,108,0,1,0,0,0,0,1531.05623,257.2558639,323.5427947
96434,7.790162,0,40,108,0,0,1,0,0,0,266.0643577,212.0165728,34.51574843
27748,20.685572,1,11,108,0,0,0,0,0,0,1012.843996,320.86529,127.9656863
130855,6.046307,0,44,108,0,1,0,0,0,0,404.3862922,254.5894829,101.1757988
51135,8.211225,0,39,108,1,0,0,0,0,0,1091.9775,376.0385162,95.88262457
73467,17.586167,0,2,108,1,0,0,0,0,0,1362.919806,260.7949414,264.2923633
133636,8.365222,1,42,108,0,1,0,0,0,0,1318.046201,468.1494049,80.04525896
99665,10.437418,0,24,108,1,0,0,0,0,0,722.8303016,152.5989504,208.2293212
142906,3.113826,0,36,108,1,0,0,0,0,0,447.0617272,282.386868,176.5469592
45964,3.996886,1,35,108,0,1,0,0,0,0,1828.829471,526.2743859,173.8102142
131137,2.032234,0,37,108,0,0,0,0,0,0,458.9510493,620.384699,211.6407149
151776,9.591103,0,36,108,0,0,0,0,0,0,281.6777301,250.2523828,129.8691481
97978,18.977475,0,30,108,0,1,0,0,0,0,1225.122268,296.6659347,59.60697037
34711,12.240673,0,36,108,0,0,0,0,0,0,1367.184413,281.6286161,139.4224705
35641,3.533701,1,37,108,0,1,0,0,0,0,1488.388173,127.873586,145.7187853
136005,4.499561,1,43,108,0,1,0,0,0,0,101.1886604,169.2898804,96.56436847
70957,6.361243,0,42,108,0,0,0,0,0,0,615.16303,314.4674403,71.65272749
148181,6.509295,0,30,108,1,0,0,0,0,0,442.2473531,169.931447,211.3308934
150416,19.292357,0,39,108,0,1,0,0,0,0,1488.15731,262.1336231,208.186958
110826,13.690469,0,24,108,1,0,0,0,0,0,801.5050159,182.1989785,362.8243144
75321,5.370251,0,45,108,1,0,0,0,0,0,520.4981929,385.3757292,107.8557314
124633,10.938945,0,38,108,0,1,0,0,0,0,769.1713569,251.3899284,40.78128016
118754,13.517604,0,22,108,0,0,0,0,0,0,2220.413605,1115.898219,190.3361552
131159,7.91777,0,23,108,0,0,0,0,0,0,685.4281484,135.9426325,201.5503521
140090,14.596861,0,11,108,0,0,0,0,0,0,402.6987937,334.3132502,53.90729005
66621,4.693075,0,47,108,0,1,0,0,0,0,627.1464154,258.0043598,209.2869852
107620,4.596401,0,33,108,0,1,0,0,0,0,193.186124,351.3947142,362.9489287
59831,6.980016,0,29,108,0,0,0,0,0,0,123.7046073,265.5990494,368.4128856
36145,5.548773,0,48,108,0,1,0,0,0,0,1263.904956,169.7142228,91.55033622
138356,17.518447,0,8,108,0,0,0,0,0,0,278.9990795,270.5761759,86.34341027
129032,57.435179,0,43,107,0,1,0,0,0,0,2465.620097,276.1851021,240.4574274
151079,3.593347,0,36,107,0,0,1,0,0,0,93.72268321,501.16231,111.3862019
66390,10.542256,0,31,107,0,1,0,0,0,0,1028.221011,295.5002388,121.807099
106122,6.215,1,41,107,0,1,0,0,0,0,1236.228623,362.9651351,309.8414911
148062,16.961161,1,7,107,0,0,1,0,0,0,297.6451682,212.1256697,261.9657566
147759,4.676517,0,6,107,0,0,0,0,0,0,987.2805197,149.0587113,210.7931242
128786,8.753931,0,6,107,0,0,0,0,0,0,900.463361,223.0265446,390.3286826
111127,0.886664,0,41,107,0,1,0,0,0,0,1784.262559,202.7859268,206.3058811
148103,7.799011,0,24,107,0,0,1,0,0,0,27.68264779,289.2396028,196.1835441
142013,8.753931,0,6,107,0,0,0,0,0,0,726.1658549,210.5804728,301.1225715
40802,19.270577,0,5,107,0,0,0,0,0,0,1722.013965,237.0538717,121.8398355
145884,19.270577,0,5,107,0,0,0,0,0,0,1719.933125,247.1261917,129.7538641
83179,6.281962,0,44,107,0,1,0,0,0,0,457.3689139,168.1163889,209.6886201
130409,8.753931,0,6,107,0,0,0,0,0,0,846.0905642,208.6274696,358.2619779
72951,7.649986,0,0,107,0,0,1,0,0,0,470.993904,220.4820177,62.81528097
144175,3.328229,0,22,107,1,0,0,0,0,0,677.5621486,456.4284794,90.56655187
147215,4.676517,0,6,107,0,0,0,0,0,0,987.026252,145.8252558,212.0983129
149576,7.605943,0,18,107,1,0,0,0,0,0,249.58932,219.301432,48.2709014
69022,9.523963,0,44,107,0,1,0,0,0,0,1378.799789,128.6337353,229.1919099
118193,4.100734,0,42,107,0,1,0,0,0,0,1372.752572,145.7647589,174.8052562
142987,25.398611,0,13,107,0,0,1,0,0,0,373.191623,281.8042496,26.02868693
