"Y","Enhanced_GVI_quantification","Transaction_including_the_first_floor_versus_not","Housing_age","Transaction_year","Condominium_versus_not","Apartment_versus_not","Studio_versus_not","Detached_House_versus_not","Storefront_versus_not","Commercial_building_versus_not","mrt_d","school_d","park_d"
413943,6.440549,1,35,108,0,0,0,0,1,0,122.5150624,210.0112152,170.8536928
356691,18.242684,0,3,108,0,0,0,0,0,0,606.7806896,179.7029831,151.9949296
379100,7.098614,0,14,108,0,0,0,0,0,0,98.47908903,338.7647384,149.7130502
256236,8.762325,1,39,108,0,0,0,0,1,0,68.70493049,234.475677,175.5286502
291681,16.507481,0,32,108,0,0,0,0,0,0,237.4053124,76.49431695,52.46869991
286855,19.150113,0,1,108,0,0,0,0,0,0,329.7547179,198.1442744,59.71047459
330014,5.083006,0,13,108,0,0,0,0,0,0,452.3704187,201.4502095,198.8335735
277682,6.738878,0,1,108,1,0,0,0,0,0,437.6789592,389.5298793,193.3664925
314352,16.916908,0,8,108,0,0,0,0,0,0,1686.743849,317.6194496,109.3920606
282312,4.596401,0,0,108,0,0,0,0,0,0,284.1583524,385.4185173,327.7167196
297265,20.229479,0,2,108,0,0,0,0,0,0,231.1338632,163.9934542,308.5288418
324620,14.215599,1,24,108,0,0,0,0,1,0,297.6997372,211.9450099,139.9817385
263339,5.488089,0,1,108,1,0,0,0,0,0,491.463981,133.0786054,100.7427538
250999,7.43625,0,5,108,1,0,0,0,0,0,1212.027732,296.0617886,143.9725882
269981,9.666162,0,1,108,1,0,0,0,0,0,209.3041454,157.32589,102.9594991
277724,28.342667,0,0,108,0,0,1,0,0,0,2214.532534,927.2713038,165.530393
272670,14.993426,0,3,108,0,0,0,0,0,0,535.1740428,147.3984994,221.0485704
435228,9.503268,1,48,108,0,0,0,0,1,0,419.3087086,165.0003955,45.43257156
321608,6.89304,1,36,108,0,0,0,0,1,0,524.6399728,364.748901,121.7738429
253239,9.523963,1,22,108,0,0,0,1,0,0,1283.226754,89.91692022,144.5487073
267884,14.370167,1,47,108,0,1,0,0,0,0,498.4610129,477.8277801,193.1970341
251673,5.253119,0,1,108,1,0,0,0,0,0,433.0309141,285.9476968,49.49931354
271909,7.299501,1,44,108,0,1,0,0,0,0,320.7286333,56.95360329,98.49510826
280077,14.960053,0,30,108,0,0,0,0,0,0,401.9709329,307.6021029,140.4439511
308012,8.26031,0,14,108,0,0,0,0,0,0,179.516386,134.960669,117.8005797
