"Y","Enhanced_GVI_quantification","Transaction_including_the_first_floor_versus_not","Housing_age","Transaction_year","Condominium_versus_not","Apartment_versus_not","Studio_versus_not","Detached_House_versus_not","Storefront_versus_not","Commercial_building_versus_not","mrt_d","school_d","park_d"
33497,4.666096,0,48,108,0,1,0,0,0,0,494.2218895,211.254723,362.1784309
47554,3.379533,0,24,108,0,0,0,0,0,0,466.1098408,386.9140308,217.8401679
42479,10.429367,0,29,108,0,0,1,0,0,0,460.4345134,245.5652852,68.29578303
45562,17.709387,0,13,108,0,0,0,0,0,0,1228.398907,260.8849367,215.7207831
36752,14.024524,0,24,108,1,0,0,0,0,0,610.0953836,530.0203227,42.60735378
27063,4.505833,0,33,108,0,1,0,0,0,0,343.2771975,214.840077,319.7136488
40429,15.78655,0,37,108,0,1,0,0,0,0,1336.506676,403.5761988,164.7281013
31815,2.273121,0,26,108,1,0,0,0,0,0,824.5635279,402.8133231,265.2511617
35472,2.156907,0,40,108,0,1,0,0,0,0,257.8182467,451.1305049,314.7169368
29287,4.250161,0,43,108,0,1,0,0,0,0,685.5126124,271.9144748,359.9523343
33534,5.839819,0,31,108,0,1,0,0,0,0,269.2942375,408.0296859,165.0573003
35315,7.424236,0,39,108,0,1,0,0,0,0,430.3482534,257.6366809,120.0095253
47932,3.243843,0,25,108,0,0,0,0,0,0,376.2395653,434.158028,206.2803647
42281,6.482467,0,20,108,0,0,0,0,0,0,982.4490638,553.4574606,23.6363418
27645,10.328351,0,34,108,0,1,0,0,0,0,172.5546848,342.0566446,44.21353983
25385,15.78655,0,38,108,0,1,0,0,0,0,1276.484872,332.86084,214.8423796
44129,13.202868,0,24,108,0,0,0,0,0,0,845.4677656,295.9188296,401.9951752
12885,10.328351,0,39,108,0,1,0,0,0,0,272.9458981,328.6419984,222.8821853
41226,5.189275,0,31,108,1,0,0,0,0,0,468.645697,336.5257877,261.2693262
45041,11.826242,0,2,108,0,0,0,0,0,0,954.9369952,213.5532847,70.57224663
48710,12.127292,0,17,108,0,0,0,0,0,0,241.5968085,445.2680275,307.0724038
45319,11.826242,0,2,108,0,0,0,0,0,0,943.0621345,233.6809154,90.36953517
48049,3.998333,1,50,108,0,0,0,1,0,0,859.6035444,370.9580718,148.6416308
46971,13.242685,0,13,108,0,0,0,0,0,0,664.2047688,298.3385172,142.8131146
23428,12.755987,0,32,108,0,1,0,0,0,0,1119.020476,681.2552859,124.1304195
44889,10.092151,0,30,108,0,0,0,0,0,0,477.4761984,220.4513985,169.4955462
43516,9.955581,0,18,108,0,0,0,0,0,0,1394.077226,224.6053926,200.8769014
42899,13.242685,0,37,108,0,0,0,0,0,0,640.8709413,368.0054691,164.7430076
48874,13.297,0,1,108,0,0,0,0,0,0,3657.514471,371.3206056,552.5553578
47352,11.985885,0,12,108,0,0,0,0,0,0,223.7014347,494.1401866,133.7099236
38859,4.624777,0,28,108,0,0,0,0,0,0,363.0892645,171.5631513,329.4666441
32334,2.123458,0,40,108,0,1,0,0,0,0,946.7479641,340.8052183,310.1954635
47095,11.985885,0,12,108,0,0,0,0,0,0,224.1856431,498.5782716,116.4450619
47077,2.617736,1,38,108,0,0,0,1,0,0,385.3419671,151.8607195,87.34500439
19120,4.547434,0,37,108,0,1,0,0,0,0,936.9320214,416.1535927,166.351225
20828,9.952121,0,40,108,0,0,1,0,0,0,672.54508740000006,308.4587337,157.6489499
45555,2.627401,0,11,108,0,0,1,0,0,0,1553.167315,530.5651366,430.5958201
23156,13.428333,0,17,108,0,0,1,0,0,0,1656.674854,441.095269,390.6625274
42143,4.624777,0,27,108,0,0,1,0,0,0,414.7596171,172.7030993,280.434739
35330,12.511019,0,19,108,1,0,0,0,0,0,268.8842259,226.9175976,525.6395827
12071,2.273121,0,30,108,0,1,0,0,0,0,894.6322882,445.1579082,309.415412
31623,21.532784,0,26,108,0,0,0,0,0,0,391.9836864,218.3451179,114.471163
46725,7.793387,0,1,108,0,0,0,0,0,0,1596.437243,528.4959389,291.3618349
37995,5.096218,0,23,108,0,0,0,0,0,0,223.9525262,328.406884,315.6409605
39241,2.123458,0,30,108,1,0,0,0,0,0,955.1753864,354.536661,287.9836676
45177,13.597234,0,12,108,0,0,0,0,0,0,1279.505182,362.1905922,123.5734728
46193,10.370221,0,11,108,0,0,0,0,0,0,103.3744564,269.9126511,97.6822705
37089,2.123458,0,30,108,1,0,0,0,0,0,955.1753864,354.536661,287.9836676
12351,4.5079,1,40,108,0,0,0,1,0,0,483.8541591,539.8142112,71.74330822
39444,31.377469,0,6,108,0,0,0,0,0,0,1027.415928,543.0380672,103.6136099
7880,7.386477,1,48,108,0,0,0,1,0,0,200.05133850000001,263.3756468,135.2679558
31219,4.666096,0,48,108,0,0,1,0,0,0,494.1559584,214.6026463,364.6117186
45983,11.225227,0,19,108,0,0,0,0,0,0,1582.64999,999.0367698,385.4764723
31893,9.092045,0,33,108,1,0,0,0,0,0,477.5170224,49.63625879,153.7354442
47031,17.786094,0,15,108,0,0,0,0,0,0,790.1763837,470.9309839,169.6888607
44397,14.312557,0,25,108,0,0,1,0,0,0,190.8294889,410.422787,198.0389975
35699,12.329846,0,36,108,1,0,0,0,0,0,360.7939862,393.8788755,244.3614808
39783,4.90441,0,38,108,0,1,0,0,0,0,207.9007618,140.5031349,54.36856597
36430,11.875187,1,25,108,1,0,0,0,0,0,722.0859023,170.0996164,51.01033427
41963,8.011008,0,23,108,0,0,0,0,0,0,693.8658373,278.9716025,81.51964126
33932,5.464323,0,21,108,0,0,0,0,0,0,903.8647701,132.7607065,166.0314598
44375,5.812784,0,19,108,0,0,0,0,0,0,200.7758784,485.0542186,162.9688636
46870,8.706022,0,4,108,0,0,0,0,0,0,1017.248119,418.8605145,327.2326638
41157,15.591533,0,6,108,0,0,0,0,0,0,1585.654446,275.949158,293.3709178
25865,10.845172,0,40,108,1,0,0,0,0,0,68.32837548,255.364108,266.9578316
37234,3.379533,0,23,108,1,0,0,0,0,0,663.0716567,285.0433105,87.79704463
23046,1.495907,1,34,108,0,0,0,1,0,0,296.8255814,460.7015998,250.5593298
44982,7.635333,0,23,108,0,0,0,0,0,0,764.3529033,269.3459664,69.27341775
40861,11.985885,0,24,108,0,0,0,0,0,0,348.3554331,622.2446583,71.89033205
46375,6.774152,0,3,108,0,0,0,0,0,0,909.9084972,267.7512959,60.78522943
43328,13.130866,0,1,108,0,0,0,0,0,0,1203.277573,319.1738525,375.1461024
30256,10.845172,0,40,108,1,0,0,0,0,0,68.32837548,255.364108,266.9578316
12712,21.81622,0,8,108,0,0,0,0,0,0,1709.857935,891.7360997,337.4353419
43103,7.621975,0,39,108,0,0,1,0,0,0,207.4067688,209.1050285,217.0039314
28222,4.837149,0,22,108,0,0,1,0,0,0,323.8219145,290.8206047,301.803516
11365,4.647624,0,33,108,0,1,0,0,0,0,1849.722125,391.4570293,202.2851809
35061,4.063879,0,37,108,1,0,0,0,0,0,248.8371755,301.6452704,209.4383967
30290,3.327143,0,32,108,0,1,0,0,0,0,121.3219744,395.4451384,154.8566579
48146,12.051059,1,5,108,0,0,0,0,0,0,2616.319473,491.8994008,252.8088936
33047,2.241304,0,27,108,0,0,0,0,0,0,407.1451591,346.2627249,133.1129306
36808,10.151826,0,22,108,0,0,0,0,0,0,648.7876964,452.8877826,161.7256342
34945,14.024524,0,44,108,0,1,0,0,0,0,641.8568324,578.4043491,30.15557804
24666,2.520278,0,25,108,0,0,0,0,0,0,899.9705919,322.6123202,198.1262382
44421,18.789575,0,33,108,0,0,0,0,0,0,559.9129693,353.8927995,197.6383416
46650,17.02094,0,19,108,0,0,0,0,0,0,277.063797,295.7440694,291.7563616
34560,1.777415,0,25,108,1,0,0,0,0,0,569.9446709,165.3506731,259.0631398
47096,29.485145,0,13,108,0,0,0,0,0,0,377.9935982,620.995154,438.968324
40347,8.720616,0,22,108,0,0,0,0,0,0,423.2983712,466.1322042,103.577732
24123,1.01274,0,27,108,0,0,0,0,0,0,345.2819384,320.686375,260.2860122
32861,9.707515,0,21,108,0,0,0,0,0,0,870.8688934,355.6282452,203.3580356
41156,6.475978,0,24,108,0,0,1,0,0,0,141.4384742,620.4753749,156.1422313
40211,11.770893,0,12,108,0,0,0,0,0,0,2638.467166,793.6890416,194.3461407
49303,3.756966,0,42,108,0,0,0,0,0,0,426.9187443,348.4831265,290.198874
42178,3.327143,0,27,108,0,0,1,0,0,0,87.92816786,448.5862408,185.3959396
48906,2.244959,1,45,108,0,0,0,1,0,0,658.9831098,290.9518632,290.4629757
46541,6.613467,0,37,108,0,0,0,0,0,0,241.4440062,219.6714568,313.5306353
45224,4.624777,0,22,108,0,0,0,0,0,0,414.7596171,172.7030993,280.434739
21649,16.137092,0,42,108,1,0,0,0,0,0,572.8775473,241.8001833,210.682012
43694,18.989063,0,13,108,0,0,0,0,0,0,1904.566272,193.4792089,169.2107833
40014,12.989383,0,40,108,0,1,0,0,0,0,151.5219778,394.3204088,37.14983593
30742,2.433646,1,26,108,0,0,0,0,0,0,1911.297839,971.4248507,151.5275996
41677,19.034628,0,23,108,0,0,0,0,0,0,827.1871547,150.4973363,23.16225143
37338,2.627401,0,31,108,1,0,0,0,0,0,1627.210442,452.8422058,351.5560408
43192,7.099768,0,52,108,0,1,0,0,0,0,312.0638063,401.9035937,306.6237026
41567,8.450242,0,39,108,0,1,0,0,0,0,554.0297917,453.4206099,58.80824056
40782,10.760972,0,21,108,0,0,0,0,0,0,374.259943,400.2594209,139.7538496
46040,8.904302,0,20,108,0,0,1,0,0,0,570.3553846,220.76339720000001,478.8525045
43969,13.597234,0,21,108,0,0,0,0,0,0,1287.111315,353.5466527,130.4648395
40217,5.547377,0,19,108,0,0,0,0,0,0,364.8608408,410.0527604,176.1096167
18398,2.520278,0,37,108,0,1,0,0,0,0,953.5890043,410.7211095,164.798701
40853,7.099768,0,52,108,0,1,0,0,0,0,312.0638063,401.9035937,306.6237026
31949,9.051559,0,48,108,0,0,1,0,0,0,897.8330904,190.9996935,125.1395823
48572,13.318765,0,7,108,0,0,0,0,0,0,1360.210968,331.2758968,29.31462994
32591,11.985885,0,24,108,0,0,0,0,0,0,348.3554331,622.2446583,71.89033205
15686,7.687826,0,38,107,0,0,0,0,0,0,508.9372923,501.0230247,58.92595865
41570,3.327143,0,27,107,0,0,1,0,0,0,87.92816786,448.5862408,185.3959396
