"Y","Enhanced_GVI_quantification","Transaction_including_the_first_floor_versus_not","Housing_age","Transaction_year","Condominium_versus_not","Apartment_versus_not","Studio_versus_not","Detached_House_versus_not","Storefront_versus_not","Commercial_building_versus_not","mrt_d","school_d","park_d"
119874,6.501881,1,2,107,0,0,0,0,0,0,923.1260062,325.4987554,100.5990153
88250,8.256042,0,3,107,0,0,0,0,0,0,101.1114214,557.5504596,273.9642051
95368,1.84505,1,43,107,0,0,0,1,0,0,330.754121,103.3244342,447.2916908
96545,1.848073,1,48,107,0,0,0,1,0,0,781.5565105,337.9708535,504.5133021
121877,6.627351,1,55,107,0,0,0,1,0,0,606.1435615,244.8851114,463.1624896
86732,12.256142,0,5,107,0,0,0,0,0,0,392.6651986,398.7340032,226.6423091
92074,9.58351,0,5,107,0,0,0,0,0,0,283.2281743,463.0438886,88.7397161
113434,12.772034,0,3,107,0,0,0,0,0,0,200.7089197,48.01356973,142.5964124
129031,4.403087,1,23,107,0,0,0,0,1,0,434.1094066,564.9714406,82.79576557
87469,11.208106,1,0,107,0,0,0,1,0,0,704.2148567,92.54031177,122.7451878
92480,8.666768,0,2,107,0,0,0,0,0,0,157.7087821,273.46341,250.0423644
89190,8.666768,0,2,107,0,0,0,0,0,0,157.7087821,273.46341,250.0423644
96766,5.106477,1,52,107,0,0,0,1,0,0,952.5924251,339.5460387,711.2083593
90887,15.78655,1,40,107,0,1,0,0,0,0,1197.045428,228.1151593,189.4203628
106617,9.58351,0,5,107,0,0,0,0,0,0,264.2237315,444.2087448,56.64721284
100224,16.137092,1,41,107,0,0,0,1,0,0,736.3790472,90.36562583,149.1538745
87891,4.035133,1,11,107,0,0,0,1,0,0,1032.777462,216.3009763,276.0020129
147561,4.489145,1,45,107,0,0,0,1,0,0,643.4246485,172.5014645,206.8546031
89329,3.937543,0,2,107,0,0,0,0,0,0,745.8782927,299.0292671,359.2961672
113839,8.582014,1,0,107,0,0,0,1,0,0,488.925305,56.31119087,298.9291967
85671,3.937543,0,2,107,0,0,0,0,0,0,745.8782927,299.0292671,359.2961672
93551,2.812424,1,46,107,0,0,0,0,1,0,477.6158306,385.8193532,279.3277634
107621,2.385102,1,12,107,0,0,0,1,0,0,515.5956771,347.3578774,184.5266505
96280,2.627401,1,20,107,0,0,0,1,0,0,1714.219555,467.5664953,354.823688
100487,10.430495,0,0,107,0,0,0,0,0,0,401.3657498,456.2611216,412.9674422
91035,5.435491,1,44,107,0,1,0,0,0,0,518.9691294,345.3422466,206.0215249
104099,5.315642,1,46,107,0,0,0,1,0,0,292.7350782,244.3942047,114.265431
88580,8.635058,1,0,107,0,0,0,1,0,0,697.5843439,245.9208088,72.44816657
152091,4.984413,1,48,107,0,0,0,1,0,0,156.5086568,307.8999764,273.204492
88138,17.786094,0,0,107,0,0,0,0,0,0,804.1260684,525.2861662,142.7731466
122309,20.804265,1,49,107,0,0,0,1,0,0,324.7408472,122.1998187,69.05387123
90689,1.40134,1,55,107,0,0,0,1,0,0,392.5407031,468.5984986,428.9772682
89795,6.305052,1,27,107,1,0,0,0,0,0,445.5773306,558.190864,157.4615935
100056,9.58351,0,5,107,0,0,0,0,0,0,283.2281743,463.0438886,88.7397161
91779,11.242721,0,4,107,0,0,0,0,0,0,169.961301,222.6986262,124.5786932
115940,12.893038,1,3,107,0,0,0,0,0,0,1322.565723,217.9189384,47.75951396
139690,5.178424,1,3,107,0,0,0,0,0,0,231.6956691,166.437944,265.9584645
95110,8.666768,0,2,107,0,0,0,0,0,0,170.5832419,292.7517076,243.497258
187004,8.894774,1,52,107,0,0,0,1,0,0,33.11919717,170.6952393,125.3966405
110697,7.102738,1,13,107,0,0,0,1,0,0,45.50356218,693.1285123,78.93302078
161754,2.914213,1,2,107,0,0,0,0,1,0,392.9443383,523.3650291,416.6623997
85719,4.684867,1,49,107,0,0,0,1,0,0,608.6727566,392.2707161,130.6022693
116741,4.985569,1,49,107,0,0,0,1,0,0,280.1377952,292.0683119,221.2379911
112642,6.613467,1,51,107,0,0,0,1,0,0,310.9173552,122.9286156,167.2822959
100123,10.430495,0,0,107,0,0,0,0,0,0,456.0809336,470.2174998,514.3527121
86701,7.658968,0,9,107,0,0,0,0,0,0,898.6239955,317.2599479,492.2307447
100427,8.809118,1,17,107,0,0,0,0,0,0,374.2562264,403.5415532,193.1213166
95104,4.250161,1,43,107,0,1,0,0,0,0,635.9405792,284.0403079,346.5067792
129146,7.386477,1,46,107,0,0,0,1,0,0,265.2024001,390.7438881,77.63047087
141551,1.487193,1,42,107,0,0,0,1,0,0,121.9431284,440.0145572,119.4051927
88602,15.495491,0,2,107,0,0,0,0,0,0,186.517746,223.4489556,196.4185102
109806,10.507682,1,47,107,0,0,0,1,0,0,779.8600115,396.3815737,37.73544363
93263,6.501881,1,43,107,0,0,0,1,0,0,1078.269355,364.9931733,80.86453986
98105,9.597589,1,5,107,0,0,0,0,0,0,308.0042706,295.8630687,323.1715068
92791,12.8619,1,0,107,0,0,0,1,0,0,1574.8317,224.7010948,51.26377262
117754,15.102056,1,40,107,1,0,0,0,0,0,491.5506135,264.3164226,374.8978509
87176,13.2085,0,3,107,0,0,0,0,0,0,194.6484653,278.2996869,250.4008087
91587,14.098881,1,11,107,0,0,0,1,0,0,1062.938274,434.56746,56.9861813
92469,10.347982,0,2,107,0,0,0,0,0,0,161.0638679,76.58517278,238.6308057
96945,9.793111,0,6,107,0,0,0,0,0,0,1750.962159,707.7335573,205.3449227
109120,7.693204,1,53,107,0,0,0,1,0,0,876.7471158,230.3680792,583.4498622
100039,5.555339,1,43,107,0,0,0,1,0,0,318.282144,465.347692,161.6366993
147156,4.254333,1,43,107,0,0,0,1,0,0,597.7175202,156.8709423,283.1949085
92857,7.793387,1,1,107,0,0,0,0,0,0,1626.952332,531.2756523,268.0774173
88615,4.760551,1,53,107,0,0,0,1,0,0,401.7280232,370.9981373,504.1335994
